City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Port Blair,IN,11.6667,92.75,79.27,84,39,7.2,scattered clouds
272,Khudumelapye,BW,-23.8833,24.75,55.9,19,0,9.04,clear sky
273,Huangchuan,CN,32.1272,115.0394,79.18,72,0,5.35,clear sky
274,Nishihara,JP,26.1842,127.7558,82.06,61,40,13.8,scattered clouds
275,Nizhnevartovsk,RU,60.9344,76.5531,32.02,93,75,6.71,broken clouds
276,Margate,GB,51.3813,1.3862,55.04,86,0,1.01,clear sky
277,Severo-Kurilsk,RU,50.6789,156.125,48.09,77,83,29.51,broken clouds
278,Karatau,KZ,43.1667,70.4667,40.86,53,0,3.78,clear sky
279,Elizabeth City,US,36.2946,-76.2511,80.02,72,1,1.99,clear sky
280,Taksimo,RU,56.3444,114.8794,29.84,81,31,2.64,scattered clouds
281,Tlacolula,MX,16.9542,-96.4792,72.19,66,89,3.74,overcast clouds
282,Esso,RU,55.9333,158.7,38.1,100,100,5.59,overcast clouds
283,Maceio,BR,-9.6658,-35.7353,76.44,94,20,5.75,few clouds
284,Palana,RU,59.1167,159.9667,37.15,93,100,32.48,light rain
285,Pinczow,PL,50.5205,20.5265,56.61,77,70,5.44,broken clouds
286,Ibipeba,BR,-11.6408,-42.0111,78.48,40,0,9.06,clear sky
287,Giyani,ZA,-23.3025,30.7187,60.84,78,100,9.31,overcast clouds
288,Pimentel,PE,-6.8367,-79.9342,64.69,72,20,19.57,few clouds
289,Strelka,RU,58.0728,93.0344,29.32,89,88,2.1,overcast clouds
290,Solnechnyy,RU,50.7214,136.6319,41.0,52,2,5.3,clear sky
291,Maryborough,AU,-25.5333,152.7,76.1,54,22,11.07,few clouds
292,Igarapava,BR,-20.0383,-47.7469,81.19,48,90,2.28,overcast clouds
293,Oussouye,SN,12.485,-16.5469,79.9,83,93,2.68,overcast clouds
294,Tecpan,GT,14.7623,-90.9947,68.76,76,45,4.94,scattered clouds
295,Saurimo,AO,-9.6608,20.3916,67.03,87,60,5.1,broken clouds
296,Komsomolskiy,UZ,40.4272,71.7189,56.12,47,96,2.3,overcast clouds
297,Alice Springs,AU,-23.7,133.8833,65.75,30,0,8.05,clear sky
298,Airai,TL,-8.9266,125.4092,69.57,43,9,0.78,clear sky
299,Tadine,NC,-21.55,167.8833,77.97,79,38,1.07,scattered clouds
300,Kyaikkami,MM,16.08,97.5675,77.99,89,90,6.22,overcast clouds
301,Arman,RU,59.7,150.1667,38.93,55,100,16.35,overcast clouds
302,La Libertad,EC,-2.2333,-80.9,69.46,83,40,11.5,scattered clouds
303,Clarence Town,AU,-32.5833,151.7833,78.06,40,21,10.76,few clouds
304,Havelock,US,34.8791,-76.9013,75.94,73,58,8.25,broken clouds
305,Lanivtsi,UA,49.8633,26.0908,46.65,60,7,10.2,clear sky
306,Chanderi,IN,24.7167,78.1333,76.41,82,1,5.23,clear sky
307,Taki,IN,22.5861,88.9214,80.55,92,90,6.2,overcast clouds
308,Kichera,RU,55.9375,110.0997,32.9,77,100,3.91,overcast clouds
309,Yabelo,ET,4.8833,38.0833,63.97,67,71,3.4,broken clouds
310,San Policarpo,PH,12.1791,125.5072,80.17,89,100,14.76,heavy intensity rain
311,Los Llanos De Aridane,ES,28.6585,-17.9182,71.13,72,20,11.5,few clouds
312,Mocuba,MZ,-16.8392,36.9856,79.68,51,47,6.22,scattered clouds
313,Malibu,US,34.005,-118.8101,99.25,43,53,5.99,broken clouds
314,Geraldton,AU,-28.7667,114.6,48.61,87,0,8.05,clear sky
315,Aykhal,RU,66.0,111.5,25.56,88,100,4.36,overcast clouds
316,Kimbe,PG,-5.5502,150.1429,86.56,62,84,1.88,broken clouds
317,Traverse City,US,44.7631,-85.6206,68.38,96,90,0.0,moderate rain
318,Rovaniemi,FI,66.5,25.7167,49.41,76,20,12.66,few clouds
319,Oktyabrskiy,RU,54.4815,53.471,40.24,72,90,4.92,overcast clouds
320,Mariinsk,RU,56.2139,87.7472,31.35,92,98,4.16,overcast clouds
321,Dingle,PH,10.9995,122.6711,75.06,96,100,4.25,moderate rain
322,Ostrovnoy,RU,68.0531,39.5131,44.44,85,17,23.29,few clouds
323,Palmer,US,42.1584,-72.3287,67.14,82,90,0.0,light rain
324,Chimbote,PE,-9.0853,-78.5783,64.11,81,68,12.37,broken clouds
325,Dargaville,NZ,-35.9333,173.8833,61.99,95,98,5.41,overcast clouds
326,Abu Dhabi,AE,24.4667,54.3667,86.11,62,0,8.05,clear sky
327,Nurota,UZ,40.5614,65.6886,46.49,47,0,8.37,clear sky
328,Amlagora,IN,22.8333,87.3333,77.43,89,97,5.28,overcast clouds
329,Moussoro,TD,13.6408,16.4901,90.09,29,29,5.68,scattered clouds
330,Rio Grande,BR,-32.035,-52.0986,59.11,75,100,15.97,overcast clouds
331,Preston,GB,53.7667,-2.7167,53.15,3,15,7.23,few clouds
332,Gamba,GA,-2.65,10.0,75.78,84,100,6.76,overcast clouds
333,Warwick,US,41.7001,-71.4162,67.91,89,90,8.05,overcast clouds
334,Castrillon,ES,43.3979,-6.7922,54.14,89,57,5.97,broken clouds
335,Villazon,BO,-22.0866,-65.5942,60.3,4,0,10.49,clear sky
336,Libreville,GA,0.3925,9.4537,76.98,89,100,7.96,light rain
337,Akcakoca,TR,41.0866,31.1162,55.96,88,12,3.44,few clouds
338,Oktyabrskoye,RU,43.0645,44.7417,48.34,93,100,8.95,mist
339,Bouna,CI,9.2667,-3.0,73.33,78,87,3.29,overcast clouds
340,Soe,ID,-9.8607,124.284,72.37,59,16,2.06,few clouds
341,Baltatesti,RO,47.1167,26.3,47.26,48,53,4.5,broken clouds
342,Xining,CN,36.6167,101.7667,38.55,96,100,2.15,overcast clouds
343,Sucua,EC,-2.4667,-78.1667,70.88,97,52,2.66,light rain
